aaas_row_key,aaas_page,aaas_field,aaas_label,label_kind,status,mapping_type,federal_account_codes,federal_account_titles,rationale,evidence_ids,integration_state
NIHAccts1:: Total NIH,NIH,NIHAccts1, Total NIH,aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,075-0807|075-0819|075-0837|075-0838|075-0843|075-0844|075-0846|075-0849|075-0851|075-0862|075-0872|075-0873|075-0875|075-0884|075-0885|075-0886|075-0887|075-0888|075-0889|075-0890|075-0891|075-0892|075-0893|075-0894|075-0896|075-0897|075-0898,"National Library of Medicine, National Institutes of Health, Health and Human Services|John E. Fogarty International Center, National Institutes of Health, Health and Human Services|Advanced Research Projects Agency for Health-NIH, National Institutes of Health, Department of Health and Human Services|Buildings and Facilities, National Institutes of Health, Health and Human Services|National Institute on Aging, National Institutes of Health, Health and Human Services|Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institute of Health, Health and Human Services|Office of the Director, National Institutes of Health, Health and Human Services|National Cancer Institute, National Institutes of Health, Health and Human Services|National Institute of General Medical Sciences, National Institutes of Health, Health and Human Services|National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services|National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services|National Institute of Dental and Craniofacial Research, National Institutes of Health, Health and Human Services|National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services|National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Health and Human Services|National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services|National Institute of Neurological Disorders and Stroke, National Institutes of Health, Health and Human Services|National Eye Institute, National Institutes of Health, Health and Human Services|National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health, Health and Human Services|National Institute of Nursing Research, National Institutes of Health, Health and Human Services|National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Health and Human Services|National Human Genome Research Institute, National Institutes of Health, Health and Human Services|National Institute of Mental Health, National Institutes of Health, Health and Human Services|National Institute on Drug Abuse, National Institutes of Health, Health and Human Services|National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health, Health and Human Services|National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services|National Institute on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services|National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",AAAS Total NIH is an explicit aggregation of the 27 displayed NIH/ARPA-H/facilities/OD accounts.,aaas:fy2026-powerbi|usaspending:075-0807|usaspending:075-0819|usaspending:075-0837|usaspending:075-0838|usaspending:075-0843|usaspending:075-0844|usaspending:075-0846|usaspending:075-0849|usaspending:075-0851|usaspending:075-0862|usaspending:075-0872|usaspending:075-0873|usaspending:075-0875|usaspending:075-0884|usaspending:075-0885|usaspending:075-0886|usaspending:075-0887|usaspending:075-0888|usaspending:075-0889|usaspending:075-0890|usaspending:075-0891|usaspending:075-0892|usaspending:075-0893|usaspending:075-0894|usaspending:075-0896|usaspending:075-0897|usaspending:075-0898,reference_only_pending_phase_3_2a_contract
NIHAccts1::Aging,NIH,NIHAccts1,Aging,account_or_program_line,resolved,one_to_one_or_alias,075-0843,"National Institute on Aging, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0843,reference_only_pending_phase_3_2a_contract
NIHAccts1::Alcohol Abuse and Alcoholism,NIH,NIHAccts1,Alcohol Abuse and Alcoholism,account_or_program_line,resolved,one_to_one_or_alias,075-0894,"National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0894,reference_only_pending_phase_3_2a_contract
NIHAccts1::Allergy and Infectious Diseases,NIH,NIHAccts1,Allergy and Infectious Diseases,account_or_program_line,resolved,one_to_one_or_alias,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0885,reference_only_pending_phase_3_2a_contract
NIHAccts1::Arthritis / Musculoskeletal,NIH,NIHAccts1,Arthritis / Musculoskeletal,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0888,"National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0888,reference_only_pending_phase_3_2a_contract
NIHAccts1::Biomedical Imaging / Bioengineering,NIH,NIHAccts1,Biomedical Imaging / Bioengineering,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0898,reference_only_pending_phase_3_2a_contract
NIHAccts2::Cancer Institute,NIH,NIHAccts2,Cancer Institute,account_or_program_line,resolved,one_to_one_or_alias,075-0849,"National Cancer Institute, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0849,reference_only_pending_phase_3_2a_contract
NIHAccts2::Child Health & Human Dev,NIH,NIHAccts2,Child Health & Human Dev,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0844,"Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institute of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0844,reference_only_pending_phase_3_2a_contract
NIHAccts2::Complementary and Integrative Health,NIH,NIHAccts2,Complementary and Integrative Health,account_or_program_line,resolved,one_to_one_or_alias,075-0896,"National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0896,reference_only_pending_phase_3_2a_contract
NIHAccts2::Deafness and Communication,NIH,NIHAccts2,Deafness and Communication,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0890,"National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0890,reference_only_pending_phase_3_2a_contract
NIHAccts2::Dental Research,NIH,NIHAccts2,Dental Research,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0873,"National Institute of Dental and Craniofacial Research, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0873,reference_only_pending_phase_3_2a_contract
"NIHAccts2::Diabetes, Digestive, and Kidney",NIH,NIHAccts2,"Diabetes, Digestive, and Kidney",account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0884,"National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0884,reference_only_pending_phase_3_2a_contract
NIHAccts3::Drug Abuse,NIH,NIHAccts3,Drug Abuse,account_or_program_line,resolved,one_to_one_or_alias,075-0893,"National Institute on Drug Abuse, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0893,reference_only_pending_phase_3_2a_contract
NIHAccts3::Environmental Health Sciences,NIH,NIHAccts3,Environmental Health Sciences,account_or_program_line,resolved,one_to_one_or_alias,075-0862,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0862,reference_only_pending_phase_3_2a_contract
NIHAccts3::Eye Institute,NIH,NIHAccts3,Eye Institute,account_or_program_line,resolved,one_to_one_or_alias,075-0887,"National Eye Institute, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0887,reference_only_pending_phase_3_2a_contract
NIHAccts3::Fogarty International Center,NIH,NIHAccts3,Fogarty International Center,account_or_program_line,resolved,one_to_one_or_alias,075-0819,"John E. Fogarty International Center, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0819,reference_only_pending_phase_3_2a_contract
NIHAccts3::General Medical Sciences,NIH,NIHAccts3,General Medical Sciences,account_or_program_line,resolved,one_to_one_or_alias,075-0851,"National Institute of General Medical Sciences, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0851,reference_only_pending_phase_3_2a_contract
"NIHAccts3::Heart, Lung, and Blood",NIH,NIHAccts3,"Heart, Lung, and Blood",account_or_program_line,resolved,one_to_one_or_alias,075-0872,"National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0872,reference_only_pending_phase_3_2a_contract
NIHAccts4::Human Genome,NIH,NIHAccts4,Human Genome,account_or_program_line,resolved,one_to_one_or_alias,075-0891,"National Human Genome Research Institute, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0891,reference_only_pending_phase_3_2a_contract
NIHAccts4::Mental Health,NIH,NIHAccts4,Mental Health,account_or_program_line,resolved,one_to_one_or_alias,075-0892,"National Institute of Mental Health, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0892,reference_only_pending_phase_3_2a_contract
NIHAccts4::Minority Health / Disparities,NIH,NIHAccts4,Minority Health / Disparities,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0897,"National Institute on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0897,reference_only_pending_phase_3_2a_contract
NIHAccts4::National Library of Medicine,NIH,NIHAccts4,National Library of Medicine,account_or_program_line,resolved,one_to_one_or_alias,075-0807,"National Library of Medicine, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0807,reference_only_pending_phase_3_2a_contract
NIHAccts4::Natl Center for Advancing Translational Sci,NIH,NIHAccts4,Natl Center for Advancing Translational Sci,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0875,reference_only_pending_phase_3_2a_contract
NIHAccts4::Neurological Disorders,NIH,NIHAccts4,Neurological Disorders,account_or_program_line,resolved,one_to_one_or_alias,075-0886,"National Institute of Neurological Disorders and Stroke, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0886,reference_only_pending_phase_3_2a_contract
NIHAccts5::ARPA-H,NIH,NIHAccts5,ARPA-H,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0837,"Advanced Research Projects Agency for Health-NIH, National Institutes of Health, Department of Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0837,reference_only_pending_phase_3_2a_contract
NIHAccts5::Buildings and Facilities,NIH,NIHAccts5,Buildings and Facilities,account_or_program_line,resolved,one_to_one_or_alias,075-0838,"Buildings and Facilities, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0838,reference_only_pending_phase_3_2a_contract
NIHAccts5::Nursing Research,NIH,NIHAccts5,Nursing Research,account_or_program_line,resolved,one_to_one_or_alias,075-0889,"National Institute of Nursing Research, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0889,reference_only_pending_phase_3_2a_contract
NIHAccts5::Office of the Director,NIH,NIHAccts5,Office of the Director,account_or_program_line,resolved,one_to_one_or_alias,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0846,reference_only_pending_phase_3_2a_contract
NIHARPA::ARPA Health,NIH,NIHARPA,ARPA Health,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0837,"Advanced Research Projects Agency for Health-NIH, National Institutes of Health, Department of Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0837,reference_only_pending_phase_3_2a_contract
NIHARPA::ARPA-Health,NIH,NIHARPA,ARPA-Health,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,075-0837,"Advanced Research Projects Agency for Health-NIH, National Institutes of Health, Department of Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0837,reference_only_pending_phase_3_2a_contract
NIH Reorg1::Allergy and Infectious Disease,NIH,NIH Reorg1,Allergy and Infectious Disease,proposal_context,unresolved,none,,,Proposed NIH reorganization label; it does not identify a current enacted federal account.,aaas:fy2026-powerbi|usaspending:account-definition,reference_only_pending_phase_3_2a_contract
NIH Reorg1::Body Systems,NIH,NIH Reorg1,Body Systems,proposal_context,unresolved,none,,,Proposed NIH reorganization label; it does not identify a current enacted federal account.,aaas:fy2026-powerbi|usaspending:account-definition,reference_only_pending_phase_3_2a_contract
NIH Reorg1::Cancer,NIH,NIH Reorg1,Cancer,proposal_context,unresolved,none,,,Proposed NIH reorganization label; it does not identify a current enacted federal account.,aaas:fy2026-powerbi|usaspending:account-definition,reference_only_pending_phase_3_2a_contract
NIH Reorg1::Neuroscience and Brain,NIH,NIH Reorg1,Neuroscience and Brain,proposal_context,unresolved,none,,,Proposed NIH reorganization label; it does not identify a current enacted federal account.,aaas:fy2026-powerbi|usaspending:account-definition,reference_only_pending_phase_3_2a_contract
NIH Reorg2::Aging,NIH,NIH Reorg2,Aging,proposal_context,unresolved,none,,,Proposed NIH reorganization label; it does not identify a current enacted federal account.,aaas:fy2026-powerbi|usaspending:account-definition,reference_only_pending_phase_3_2a_contract
NIH Reorg2::Behavioral Health,NIH,NIH Reorg2,Behavioral Health,proposal_context,unresolved,none,,,Proposed NIH reorganization label; it does not identify a current enacted federal account.,aaas:fy2026-powerbi|usaspending:account-definition,reference_only_pending_phase_3_2a_contract
"NIH Reorg2::Child and Women's Health, Sensory Disorders and Communication",NIH,NIH Reorg2,"Child and Women's Health, Sensory Disorders and Communication",proposal_context,unresolved,none,,,Proposed NIH reorganization label; it does not identify a current enacted federal account.,aaas:fy2026-powerbi|usaspending:account-definition,reference_only_pending_phase_3_2a_contract
NIH Reorg2::General Medicine,NIH,NIH Reorg2,General Medicine,proposal_context,unresolved,none,,,Proposed NIH reorganization label; it does not identify a current enacted federal account.,aaas:fy2026-powerbi|usaspending:account-definition,reference_only_pending_phase_3_2a_contract
NIH Reorg Del::Complementary and Integrative Health,NIH,NIH Reorg Del,Complementary and Integrative Health,proposal_context,resolved,one_to_one_or_alias,075-0896,"National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0896,reference_only_pending_phase_3_2a_contract
NIH Reorg Del::Fogarty International Center,NIH,NIH Reorg Del,Fogarty International Center,proposal_context,resolved,one_to_one_or_alias,075-0819,"John E. Fogarty International Center, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0819,reference_only_pending_phase_3_2a_contract
NIH Reorg Del::Minority Health/ Disparities,NIH,NIH Reorg Del,Minority Health/ Disparities,proposal_context,resolved,one_to_one_or_alias,075-0897,"National Institute on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0897,reference_only_pending_phase_3_2a_contract
NIH Reorg Del::Nursing,NIH,NIH Reorg Del,Nursing,proposal_context,resolved,one_to_one_or_alias,075-0889,"National Institute of Nursing Research, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0889,reference_only_pending_phase_3_2a_contract
NIH Reorg Moved::ARPA-Health,NIH,NIH Reorg Moved,ARPA-Health,proposal_context,resolved,one_to_one_or_alias,075-0837,"Advanced Research Projects Agency for Health-NIH, National Institutes of Health, Department of Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0837,reference_only_pending_phase_3_2a_contract
NIH Reorg Moved::Environmental Health Sciences,NIH,NIH Reorg Moved,Environmental Health Sciences,proposal_context,resolved,one_to_one_or_alias,075-0862,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0862,reference_only_pending_phase_3_2a_contract
NIH Reorg Moved::Natl Center for Advancing Translational Sci,NIH,NIH Reorg Moved,Natl Center for Advancing Translational Sci,proposal_context,resolved,one_to_one_or_alias,075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",The AAAS current or proposal-context label has an exact current federal-account identity; proposal status does not change that identity.,aaas:fy2026-powerbi|usaspending:075-0875,reference_only_pending_phase_3_2a_contract
NSFAccounts:: NSF Total,NSF and NASA,NSFAccounts, NSF Total,aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,049-0100|049-0106|049-0180|049-0551,"Research and Related Activities, National Science Foundation|STEM Education, National Science Foundation|Agency Operations and Award Management, National Science Foundation|Major Research Equipment and Facilities Construction, National Science Foundation",The AAAS label matches an NSF appropriation account; Total is their explicit aggregation.,aaas:fy2026-powerbi|usaspending:049-0100|usaspending:049-0106|usaspending:049-0180|usaspending:049-0551,reference_only_pending_phase_3_2a_contract
NSFAccounts::Agency Ops & Award Mgmt,NSF and NASA,NSFAccounts,Agency Ops & Award Mgmt,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,049-0180,"Agency Operations and Award Management, National Science Foundation",The AAAS label matches an NSF appropriation account; Total is their explicit aggregation.,aaas:fy2026-powerbi|usaspending:049-0180,reference_only_pending_phase_3_2a_contract
NSFAccounts::Major Equipment & Facilities,NSF and NASA,NSFAccounts,Major Equipment & Facilities,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,049-0551,"Major Research Equipment and Facilities Construction, National Science Foundation",The AAAS label matches an NSF appropriation account; Total is their explicit aggregation.,aaas:fy2026-powerbi|usaspending:049-0551,reference_only_pending_phase_3_2a_contract
NSFAccounts::Research & Related Activities,NSF and NASA,NSFAccounts,Research & Related Activities,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,049-0100,"Research and Related Activities, National Science Foundation",The AAAS label matches an NSF appropriation account; Total is their explicit aggregation.,aaas:fy2026-powerbi|usaspending:049-0100,reference_only_pending_phase_3_2a_contract
NSFAccounts::STEM Education,NSF and NASA,NSFAccounts,STEM Education,account_or_program_line,resolved,one_to_one_or_alias,049-0106,"STEM Education, National Science Foundation",The AAAS label matches an NSF appropriation account; Total is their explicit aggregation.,aaas:fy2026-powerbi|usaspending:049-0106,reference_only_pending_phase_3_2a_contract
NASA Accounts:: NASA Total,NSF and NASA,NASA Accounts, NASA Total,aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,080-0120|080-0124|080-0115|080-0126|080-0131|080-0128,"Science, National Aeronautics and Space Administration|Exploration, National Aeronautics and Space Administration|Space Operations, National Aeronautics and Space Administration|Aeronautics, National Aeronautics and Space Administration|Space Technology, National Aeronautics Space Administration|Science, Technology, Engineering, and Mathematics Engagement, National Aeronautics and Space Administration",The AAAS label matches a NASA appropriation account; Total is the six-account displayed scope.,aaas:fy2026-powerbi|usaspending:080-0120|usaspending:080-0124|usaspending:080-0115|usaspending:080-0126|usaspending:080-0131|usaspending:080-0128,reference_only_pending_phase_3_2a_contract
NASA Accounts::Aeronautics Research,NSF and NASA,NASA Accounts,Aeronautics Research,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0126,"Aeronautics, National Aeronautics and Space Administration",The AAAS label matches a NASA appropriation account; Total is the six-account displayed scope.,aaas:fy2026-powerbi|usaspending:080-0126,reference_only_pending_phase_3_2a_contract
NASA Accounts::Deep Space Exploration Systems,NSF and NASA,NASA Accounts,Deep Space Exploration Systems,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0124,"Exploration, National Aeronautics and Space Administration",The AAAS label matches a NASA appropriation account; Total is the six-account displayed scope.,aaas:fy2026-powerbi|usaspending:080-0124,reference_only_pending_phase_3_2a_contract
NASA Accounts::LEO and Spaceflight Operations,NSF and NASA,NASA Accounts,LEO and Spaceflight Operations,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0115,"Space Operations, National Aeronautics and Space Administration",The AAAS label matches a NASA appropriation account; Total is the six-account displayed scope.,aaas:fy2026-powerbi|usaspending:080-0115,reference_only_pending_phase_3_2a_contract
NASA Accounts::Science,NSF and NASA,NASA Accounts,Science,account_or_program_line,resolved,one_to_one_or_alias,080-0120,"Science, National Aeronautics and Space Administration",The AAAS label matches a NASA appropriation account; Total is the six-account displayed scope.,aaas:fy2026-powerbi|usaspending:080-0120,reference_only_pending_phase_3_2a_contract
NASA Accounts::Space Technology,NSF and NASA,NASA Accounts,Space Technology,account_or_program_line,resolved,one_to_one_or_alias,080-0131,"Space Technology, National Aeronautics Space Administration",The AAAS label matches a NASA appropriation account; Total is the six-account displayed scope.,aaas:fy2026-powerbi|usaspending:080-0131,reference_only_pending_phase_3_2a_contract
NASA Accounts::STEM Engagement,NSF and NASA,NASA Accounts,STEM Engagement,account_or_program_line,resolved,one_to_one_or_alias,080-0128,"Science, Technology, Engineering, and Mathematics Engagement, National Aeronautics and Space Administration",The AAAS label matches a NASA appropriation account; Total is the six-account displayed scope.,aaas:fy2026-powerbi|usaspending:080-0128,reference_only_pending_phase_3_2a_contract
NASA Explor:: Total Deep Space Exploration,NSF and NASA,NASA Explor, Total Deep Space Exploration,aggregate_or_total,resolved,one_to_one_or_alias,080-0124,"Exploration, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0124,reference_only_pending_phase_3_2a_contract
"NASA Explor::ACD: Cislunar, Surface, Lander",NSF and NASA,NASA Explor,"ACD: Cislunar, Surface, Lander",account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0124,"Exploration, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0124,reference_only_pending_phase_3_2a_contract
NASA Explor::ACD: Gateway,NSF and NASA,NASA Explor,ACD: Gateway,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0124,"Exploration, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0124,reference_only_pending_phase_3_2a_contract
NASA Explor::Artemis Campaign Development,NSF and NASA,NASA Explor,Artemis Campaign Development,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0124,"Exploration, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0124,reference_only_pending_phase_3_2a_contract
NASA Explor::Exploration Ground Systems,NSF and NASA,NASA Explor,Exploration Ground Systems,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0124,"Exploration, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0124,reference_only_pending_phase_3_2a_contract
NASA Explor::Orion Program,NSF and NASA,NASA Explor,Orion Program,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0124,"Exploration, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0124,reference_only_pending_phase_3_2a_contract
NASA Explor::Space Launch System (SLS),NSF and NASA,NASA Explor,Space Launch System (SLS),account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0124,"Exploration, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0124,reference_only_pending_phase_3_2a_contract
NASA SMD:: Science Total,NSF and NASA,NASA SMD, Science Total,aggregate_or_total,resolved,one_to_one_or_alias,080-0120,"Science, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0120,reference_only_pending_phase_3_2a_contract
NASA SMD::Astrophysics,NSF and NASA,NASA SMD,Astrophysics,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0120,"Science, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0120,reference_only_pending_phase_3_2a_contract
NASA SMD::Bio and Physical Sciences,NSF and NASA,NASA SMD,Bio and Physical Sciences,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0120,"Science, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0120,reference_only_pending_phase_3_2a_contract
NASA SMD::Earth Science,NSF and NASA,NASA SMD,Earth Science,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0120,"Science, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0120,reference_only_pending_phase_3_2a_contract
NASA SMD::Heliophysics,NSF and NASA,NASA SMD,Heliophysics,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0120,"Science, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0120,reference_only_pending_phase_3_2a_contract
NASA SMD::Planetary Science,NSF and NASA,NASA SMD,Planetary Science,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0120,"Science, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0120,reference_only_pending_phase_3_2a_contract
NASA Miss::Astrophysics Research,NSF and NASA,NASA Miss,Astrophysics Research,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,080-0120,"Science, National Aeronautics and Space Administration",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:080-0120,reference_only_pending_phase_3_2a_contract
